pilot,technology,profile_id,profile_label,n_skills,skills_included,closest_esco_occupation,closest_esco_code,esco_affinity_score,optimal_k,silhouette_score,strategy
L,DPP Model,0,sustainability compliance,1,sustainability compliance,operations manager,1321.2.3,0.222,4,0.09,new hire
L,DPP Model,1,"Organizing and maintaining the specific data subsets, DPP data workflows",3,"Process optimization; simulation usage; Organizing and maintaining the specific data subsets, DPP data workflows",industrial production manager,1321.2.1,0.276,4,0.09,new hire
L,DPP Model,2,Interoperability and data exchange awareness,4,"Strategic integration; Interoperability and data exchange awareness; Cybersecurity Awareness; System administration, data security, operational continuity",database integrator,2521.4,0.274,4,0.09,new hire
L,DPP Model,3,Digital Content Creation skills,3,Problem-solving; Information and Data Literacy skills; Digital Content Creation skills,industrial quality manager,1321.2.2,0.33,4,0.09,new hire
L,Function-oriented assembly,0,System integration,5,"Technological safety, cybersecurity, and privacy; System integration; Ability to operate both virtual and physical assembly environments; Effective human-system communication; Evaluate and verify parameters and adjust settings",Microelectronics Maintenance Technician,3114.1.7,0.289,3,0.053,new hire
L,Function-oriented assembly,1,Strategic decision-making,2,Strategic decision-making; think out of the box,operations manager,1321.2.3,0.214,3,0.053,new hire
L,Function-oriented assembly,2,Optimization and scheduling,1,Optimization and scheduling,industrial production manager,1321.2.1,0.22,3,0.053,new hire
L,Hybrid disassembly,0,Observe the disassembly process and understand the sequence the first time it is carried out,4,"Observe the disassembly process and understand the sequence the first time it is carried out; Which disassembled components to recycle/scrap/collect; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",industrial production manager,1321.2.1,0.259,5,0.114,new hire
L,Hybrid disassembly,1,Knowledge of emergency safety routines,2,Task Programming; Knowledge of emergency safety routines,industrial production manager,1321.2.1,0.211,5,0.114,new hire
L,Hybrid disassembly,2,Spatial Awareness of the cobot,2,Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot,robotics engineering technician,3119.2.1,0.197,5,0.114,new hire
L,Hybrid disassembly,3,End effector control,1,End effector control,robotics engineering technician,3119.2.1,0.134,5,0.114,new hire
L,Hybrid disassembly,4,Interaction with the inline database system to write and read component state data.,1,Interaction with the inline database system to write and read component state data.,database integrator,2521.4,0.269,5,0.114,new hire
O,DPP Model,0,sustainability compliance,1,sustainability compliance,operations manager,1321.2.3,0.222,4,0.09,new hire
O,DPP Model,1,"Organizing and maintaining the specific data subsets, DPP data workflows",3,"Process optimization; simulation usage; Organizing and maintaining the specific data subsets, DPP data workflows",industrial production manager,1321.2.1,0.276,4,0.09,new hire
O,DPP Model,2,Interoperability and data exchange awareness,4,"Strategic integration; Interoperability and data exchange awareness; Cybersecurity Awareness; System administration, data security, operational continuity",database integrator,2521.4,0.274,4,0.09,new hire
O,DPP Model,3,Digital Content Creation skills,3,Problem-solving; Information and Data Literacy skills; Digital Content Creation skills,industrial quality manager,1321.2.2,0.33,4,0.09,new hire
O,Function-oriented assembly,0,System integration,5,"Technological safety, cybersecurity, and privacy; System integration; Ability to operate both virtual and physical assembly environments; Effective human-system communication; Evaluate and verify parameters and adjust settings",industrial quality manager,1321.2.2,0.288,3,0.053,new hire
O,Function-oriented assembly,1,Strategic decision-making,2,Strategic decision-making; think out of the box,operations manager,1321.2.3,0.214,3,0.053,new hire
O,Function-oriented assembly,2,Optimization and scheduling,1,Optimization and scheduling,industrial assembly supervisor,3122.3,0.228,3,0.053,new hire
O,Hybrid disassembly,0,Observe the disassembly process and understand the sequence the first time it is carried out,4,"Observe the disassembly process and understand the sequence the first time it is carried out; Which disassembled components to recycle/scrap/collect; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)",industrial production manager,1321.2.1,0.259,5,0.114,new hire
O,Hybrid disassembly,1,Knowledge of emergency safety routines,2,Task Programming; Knowledge of emergency safety routines,logistics and distribution manager,1324.3,0.228,5,0.114,new hire
O,Hybrid disassembly,2,Spatial Awareness of the cobot,2,Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot,robotics engineering technician,3119.2.1,0.197,5,0.114,new hire
O,Hybrid disassembly,3,End effector control,1,End effector control,robotics engineering technician,3119.2.1,0.134,5,0.114,new hire
O,Hybrid disassembly,4,Interaction with the inline database system to write and read component state data.,1,Interaction with the inline database system to write and read component state data.,database integrator,2521.4,0.269,5,0.114,new hire
