pilot|role_code|role_label|profile_id|profile_label|n_skills|technologies_covered|skills_included|suggested_hire_title|suggested_hire_esco_code|esco_affinity_score|isco_group|optimal_k|silhouette_score|strategy
K|3|Operator|K_3_1|Spatial Awareness of the cobot|8|Cold spray; Hybrid disassembly; Function-oriented assembly|Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot; End effector control; Cognitive and spatial reasoning; Psychomotor and physical capabilities; Procedural precision and mental focus; Basic robotic programming; Effective human-system communication|mobile crane operator|8343.3|0.267|8343|4|0.104|new hire
K|3|Operator|K_3_2|Observe the disassembly process and understand the sequence the first time it is carried out|2|Hybrid disassembly|Observe the disassembly process and understand the sequence the first time it is carried out; Check the progress of the plan (disassembly point)|industrial machinery assembler|8211.2|0.2|8211|4|0.104|new hire
K|3|Operator|K_3_3|Basic material science knowledge|2|Cold spray|Basic material science knowledge; Cold spray parameter awareness|tool grinder|7224.2|0.259|7224|4|0.104|new hire
L|2|Supervisor|L_2_0|Information and Data Literacy skills|3|DPP Model|simulation usage; Information and Data Literacy skills; Digital Content Creation skills|data engineer|2511.20|0.362|2511|2|0.076|new hire
L|2|Supervisor|L_2_1|Task Programming|4|Hybrid disassembly; Function-oriented assembly|Task Programming; Optimization and scheduling; think out of the box; Evaluate and verify parameters and adjust settings|building information modelling consultant|2421.6|0.318|2421|2|0.076|new hire
L|3|Operator|L_3_0|Organizing and maintaining the specific data subsets, DPP data workflows|2|Hybrid disassembly; DPP Model|Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.|data entry clerk|4132.1|0.298|4132|4|0.147|new hire
L|3|Operator|L_3_1|Observe the disassembly process and understand the sequence the first time it is carried out|3|Hybrid disassembly|Observe the disassembly process and understand the sequence the first time it is carried out; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)|industrial machinery assembler|8211.2|0.251|8211|4|0.147|new hire
L|3|Operator|L_3_2|Collaboration and knowledge about the cobot capabilities and parameters|3|Hybrid disassembly; Function-oriented assembly|Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot; Effective human-system communication|mobile crane operator|8343.3|0.219|8343|4|0.147|new hire
L|3|Operator|L_3_3|End effector control|1|Hybrid disassembly|End effector control|ski lift operator|7412.13|0.149|7412|4|0.147|new hire
O|1|Manager|O_1_0|Technological safety, cybersecurity, and privacy|1|Function-oriented assembly|Technological safety, cybersecurity, and privacy|director of compliance and information security|1213.9|0.372|1213|1||new hire
O|2|Supervisor|O_2_0|Information and Data Literacy skills|3|DPP Model|simulation usage; Information and Data Literacy skills; Digital Content Creation skills|data engineer|2511.20|0.362|2511|2|0.085|new hire
O|2|Supervisor|O_2_1|Task Programming|3|Hybrid disassembly; Function-oriented assembly|Task Programming; think out of the box; Evaluate and verify parameters and adjust settings|building information modelling consultant|2421.6|0.295|2421|2|0.085|new hire
O|3|Operator|O_3_0|Organizing and maintaining the specific data subsets, DPP data workflows|2|Hybrid disassembly; DPP Model|Organizing and maintaining the specific data subsets, DPP data workflows; Interaction with the inline database system to write and read component state data.|data entry clerk|4132.1|0.298|4132|4|0.147|new hire
O|3|Operator|O_3_1|Observe the disassembly process and understand the sequence the first time it is carried out|3|Hybrid disassembly|Observe the disassembly process and understand the sequence the first time it is carried out; Ability to adapt/modify disassembly routines and troubleshoot in case of issues, both at the software and hardware level; Check the progress of the plan (disassembly point)|industrial machinery assembler|8211.2|0.251|8211|4|0.147|new hire
O|3|Operator|O_3_2|Collaboration and knowledge about the cobot capabilities and parameters|3|Hybrid disassembly; Function-oriented assembly|Collaboration and knowledge about the cobot capabilities and parameters; Spatial Awareness of the cobot; Effective human-system communication|mobile crane operator|8343.3|0.219|8343|4|0.147|new hire
O|3|Operator|O_3_3|End effector control|1|Hybrid disassembly|End effector control|ski lift operator|7412.13|0.149|7412|4|0.147|new hire
